coin_id,symbol,name,price,market_cap,volume,last_updated_at
binance-peg-weth,weth,Binance-Peg WETH,3127.68,1892247540,75610471.0,2025-12-08 23:02:10.141000+00:00
jito-staked-sol,jitosol,Jito Staked SOL,166.66,1886581246,24859979.0,2025-12-08 23:02:12.932000+00:00
internet-computer,icp,Internet Computer,3.42,1853417718,79951921.0,2025-12-08 23:02:12.908000+00:00
pi-network,pi,Pi Network,0.219926,1836529126,16111529.0,2025-12-08 23:02:14.847000+00:00
rain,rain,Rain,0.00768887,1826593312,24788216.0,2025-12-08 23:02:15.171000+00:00
pump-fun,pump,Pump.fun,0.00306787,1809915476,124047670.0,2025-12-08 23:02:15.321000+00:00
hash-2,hash,Provenance Blockchain,0.03315654,1734639500,66795.0,2025-12-08 23:02:12.248000+00:00
wrapped-solana,sol,Wrapped SOL,133.61,1699569576,711307343.0,2025-12-08 23:02:09.866000+00:00
jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.67,1678594891,35784058.0,2025-12-08 23:02:13.030000+00:00
ondo-finance,ondo,Ondo,0.483062,1525617078,153379513.0,2025-12-08 23:02:14.516000+00:00
htx-dao,htx,HTX DAO,1.62e-06,1506924848,6512667.0,2025-12-08 23:02:12.430000+00:00
syrupusdc,syrupusdc,syrupUSDC,1.14,1504295472,5737106.0,2025-12-08 23:02:16.479000+00:00
worldcoin-wld,wld,Worldcoin,0.613428,1459999033,108642695.0,2025-12-08 23:02:17.890000+00:00
pax-gold,paxg,PAX Gold,4200.15,1428594755,105622532.0,2025-12-08 23:02:14.952000+00:00
kaspa,kas,Kaspa,0.052263,1398492197,21012971.0,2025-12-08 23:02:12.939000+00:00
global-dollar,usdg,Global Dollar,0.99969,1395481854,24098774.0,2025-12-08 23:02:12.166000+00:00
kucoin-shares,kcs,KuCoin,10.22,1325293175,4759237.0,2025-12-08 23:02:13.172000+00:00
aptos,apt,Aptos,1.79,1320333399,225235122.0,2025-12-08 23:02:09.615000+00:00
bfusd,bfusd,BFUSD,0.999203,1318955923,12479146.0,2025-12-08 23:02:09.878000+00:00
rocket-pool-eth,reth,Rocket Pool ETH,3600.81,1315350903,2510538.0,2025-12-08 23:02:15.482000+00:00
polygon-ecosystem-token,pol,POL (ex-MATIC),0.123827,1306773278,63699088.0,2025-12-08 23:02:15.159000+00:00
syrupusdt,syrupusdt,syrupUSDT,1.11,1306284020,4274851.0,2025-12-08 23:02:16.532000+00:00
hashnote-usyc,usyc,Circle USYC,1.11,1303476543,2664137.0,2025-12-08 23:02:12.226000+00:00
ripple-usd,rlusd,Ripple USD,0.999923,1293032183,45649590.0,2025-12-08 23:02:15.607000+00:00
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),0.999794,1288637429,223292643.0,2025-12-08 23:02:10.324000+00:00
quant-network,qnt,Quant,88.38,1285475558,15730911.0,2025-12-08 23:02:15.408000+00:00
sky,sky,Sky,0.053733,1232451570,9789659.0,2025-12-08 23:02:16.041000+00:00
wbnb,wbnb,Wrapped BNB,899.31,1219234757,611625490.0,2025-12-08 23:02:18.109000+00:00
gatechain-token,gt,Gate,10.35,1213235379,2077114.0,2025-12-08 23:02:11.943000+00:00
arbitrum,arb,Arbitrum,0.212786,1195207863,115529925.0,2025-12-08 23:02:09.905000+00:00
algorand,algo,Algorand,0.134141,1183021927,33496692.0,2025-12-08 23:02:18.650000+00:00
binance-staked-sol,bnsol,Binance Staked SOL,145.19,1148967357,3933938.0,2025-12-08 23:02:10.028000+00:00
official-trump,trump,Official Trump,5.7,1138980375,208106053.0,2025-12-08 23:02:14.750000+00:00
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3315.73,1123929020,853106.0,2025-12-08 23:02:12.911000+00:00
filecoin,fil,Filecoin,1.51,1091635087,113104322.0,2025-12-08 23:02:11.864000+00:00
cosmos,atom,Cosmos Hub,2.26,1087491551,37981755.0,2025-12-08 23:02:11.103000+00:00
vechain,vet,VeChain,0.01256028,1080137445,23174412.0,2025-12-08 23:02:17.326000+00:00
ignition-fbtc,fbtc,Function FBTC,90424.0,1057688826,79284.0,2025-12-08 23:02:12.584000+00:00
flare-networks,flr,Flare,0.013074,1050912689,4594992.0,2025-12-08 23:02:11.719000+00:00
usdtb,usdtb,USDtb,1.001,1049865373,1479631.0,2025-12-08 23:02:17.075000+00:00
